13:46:41.869 [INFO    ][deluge.configmanager:52  ] Setting config directory to: /config
13:46:42.454 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Mayans.M.C.S03E07.What.Comes.of.Handlin.Snakeskin.1080p.AMZN.WEBRip.DDP5.1.x264-NTb from user "localclient" loaded
13:46:42.455 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Debris.S01E08.FASTSUB.VOSTFR.1080p.WEB.x264-VOiLA from user "localclient" loaded
13:46:42.456 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Debris.S01E07.FASTSUB.VOSTFR.1080p.WEB.x264-VOiLA from user "localclient" loaded
13:46:42.457 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Mayans.M.C.S03E08.A.Mixed-up.and.Splendid.Rescue.1080p.AMZN.WEBRip.DDP5.1.x264-NTb from user "localclient" loaded
13:46:42.457 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Boku no Hero Academia S05E05 VOSTFR WebRip 1080p x264 AAC.mkv from user "localclient" loaded
13:46:42.458 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Boku no Hero Academia S05E04 VOSTFR WebRip 1080p x264 AAC.mkv from user "localclient" loaded
13:46:42.459 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Boku no Hero Academia S05E03 VOSTFR WebRip 1080p x264 AAC.mkv from user "localclient" loaded
13:46:42.459 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Complement d'enquete - Ultra-droite, la nouvelle menace France 2 2021 VF WEB720 H264 LUNARTAKE.mkv from user "localclient" loaded
13:46:42.460 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Boku no Hero Academia S05E06 VOSTFR WebRip 1080p x264 AAC.mkv from user "localclient" loaded
13:46:42.461 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Boku no Hero Academia S05E07 VOSTFR Web-Dl 1080p x264 AAC.mkv from user "localclient" loaded
13:46:42.461 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent De.Gaulle.2020.VOF.1080p.mHD.x264.AC3-ROMKENT from user "localclient" loaded
13:46:42.462 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Mayans.M.C.S03E09.The.House.of.Death.Floats.By.1080p.AMZN.WEBRip.DDP5.1.x264-NTb from user "localclient" loaded
13:46:42.464 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Mayans.M.C.S03E10.Chapter.the.Last.Nothing.more.to.write.1080p.AMZN.WEBRip.DDP5.1.x264-NTb from user "localclient" loaded
13:46:42.464 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Boku no Hero Academia S05E09 VOSTFR Web-Dl 1080p x264 AAC.mkv from user "localclient" loaded
13:46:42.465 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Boku no Hero Academia S05E08 VOSTFR WebRip 1080p x265 10bit AAC.mkv from user "localclient" loaded
13:46:42.466 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Shameless.US.S11E08.FASTSUB.VOSTFR.1080p.AMZN.WEBRip.DDP5.1.x264-P37.mkv from user "localclient" loaded
13:46:42.466 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Shameless.US.S11E12.FINAL.FASTSUB.VOSTFR.1080p.AMZN.WEB-DL.DDP5.1.H.264-P37.mkv from user "localclient" loaded
13:46:42.467 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Star.Wars.The.Bad.Batch.S01E04.MULTI.1080p.WEBRip.x264.AAC-SUNNY.mkv from user "localclient" loaded
13:46:42.467 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Star.Wars.The.Bad.Batch.S01E03.MULTI.1080p.WEBRip.x264.AAC-SUNNY.mkv from user "localclient" loaded
13:46:42.468 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Star Wars The Bad Batch.S01E02.MULTI.1080p.WEB-DL.H264-FTMVHD from user "localclient" loaded
13:46:42.469 [INFO    ][deluge.core.torrentmanager    :69  ] Torrent Star Wars The Bad Batch.S01E01.MULTI.1080p.WEB.H264-FTMVHD from user "localclient" loaded
13:46:42.469 [INFO    ][deluge.core.torrentmanager    :69  ] Finished loading 57 torrents in 0:00:00.236135
13:46:43.023 [INFO    ][deluge.core.torrentmanager    :69  ] on_alert_external_ip: 213.152.187.230
13:46:44.634 [INFO    ][deluge.core.rpcserver         :69  ] Deluge Client connection made from: 127.0.0.1:48434
13:46:44.936 [INFO    ][deluge.core.rpcserver         :69  ] Deluge client disconnected: Connection to the other side was lost in a non-clean fashion: Connection lost.
13:46:45.528 [INFO    ][deluge.core.rpcserver         :69  ] Deluge Client connection made from: 127.0.0.1:48436
